;id_cliente;nombre;apellidoS   ;FECHA NACIMIENTO;ciudad;fecha_registro  ;ultima_compra
24;25.0;Juan;Martínez;03/03/1954;Bogotá;20/01/2022;14/02/2022
25;26.0;Luis;Ramírez;03/05/1990;Cali;29/01/2022;11/03/2022
26;27.0;Rosa;Pérez;04/03/1976;Cali;06/02/2022;11/03/2022
27;28.0;Ana;Pérez;28/04/1991;Barranquilla;01/03/2022;18/03/2022
28;29.0;Diego;Gómez;06/10/1961;Cali;23/02/2022;26/03/2022
29;30.0;Marta;Rodríguez;08/08/1995;Cartagena;01/01/2022;26/01/2022
30;31.0;Elena;Hernández;16/06/1967;Medellín;23/01/2022;14/02/2022
31;32.0;Sofía;Ramírez;24/07/1993;Barranquilla;27/02/2022;25/01/2022
32;33.0;Juan;Martínez;30/06/1993;Barranquilla;13/03/2022;14/02/2022
33;34.0;Sofía;Díaz;12/01/1994;Bogotá;06/03/2022;16/01/2022
34;35.0;Elena;Sánchez;15/02/1957;Bogotá;31/01/2022;04/01/2022
35;36.0;Luis;García;04/03/1984;Bogotá;30/03/2022;10/03/2022
36;37.0;Carlos;Gómez;26/09/1979;Bogotá;07/04/2022;10/02/2022
37;38.0;Sofía;Díaz;25/05/1968;Barranquilla;06/02/2022;18/03/2022
38;39.0;Ana;Pérez;06/02/1970;Cali;11/03/2022;20/03/2022
39;40.0;Luis;Hernández;11/02/1961;Cali;21/02/2022;28/02/2022
40;41.0;Pedro;García;17/02/1995;Bogotá;05/04/2022;24/02/2022
41;42.0;Juan;Pérez;30/08/1989;Bogotá;22/03/2022;04/01/2022
42;43.0;Sofía;López;26/06/1989;Cali;12/01/2022;01/03/2022
43;44.0;Luis;Sánchez;16/05/1957;Bogotá;01/01/2022;27/01/2022
44;45.0;Marta;García;23/02/1965;Cartagena;31/03/2022;06/03/2022
45;46.0;Carlos;Ramírez;07/01/2003;Cartagena;06/01/2022;08/04/2022
46;47.0;Luis;García;07/12/1965;Cali;16/01/2022;06/02/2022
47;48.0;Luis;Ramírez;15/05/1970;Barranquilla;21/03/2022;03/02/2022
48;49.0;Marta;Sánchez;24/11/1985;Barranquilla;05/03/2022;06/04/2022
49;50.0;Carlos;López;16/03/1988;Medellín;18/02/2022;04/01/2022
50;51.0;Diego;Hernández;30/01/1965;Cartagena;22/01/2022;06/02/2022
51;52.0;Sofía;Martínez;10/11/1975;Cartagena;08/03/2022;19/01/2022
52;53.0;Diego;Díaz;14/10/1974;Bogotá;04/04/2022;04/03/2022
53;54.0;Juan;Rodríguez;26/08/1969;Cartagena;06/02/2022;15/02/2022
54;55.0;Elena;Martínez;10/05/1979;Cali;07/03/2022;27/01/2022
55;56.0;Carlos;Martínez;17/10/2002;Cartagena;21/02/2022;13/03/2022
56;57.0;Diego;Hernández;29/01/1962;Barranquilla;18/01/2022;02/04/2022
57;58.0;Rosa;Hernández;22/10/1993;Cartagena;25/03/2022;08/01/2022
58;59.0;Elena;Pérez;29/06/2001;Medellín;13/01/2022;09/04/2022
59;60.0;Sofía;Sánchez;21/03/1960;Cali;09/03/2022;19/03/2022
60;61.0;Marta;Hernández;03/03/1954;Medellín;06/01/2022;10/03/2022
61;62.0;Rosa;Hernández;12/01/1951;Medellín;22/01/2022;19/02/2022
62;63.0;Diego;García;16/06/1991;Bogotá;14/02/2022;17/03/2022
63;64.0;Ana;Sánchez;29/11/2000;Medellín;06/04/2022;27/03/2022
64;65.0;Sofía;Martínez;05/06/1993;Cartagena;04/02/2022;23/03/2022
65;66.0;Sofía;Martínez;22/01/1957;Bogotá;21/02/2022;31/03/2022
66;67.0;Juan;García;17/01/1958;Cali;16/03/2022;06/04/2022
67;68.0;Pedro;Ramírez;02/05/2003;Cali;27/01/2022;31/03/2022
68;69.0;Carlos;Sánchez;29/05/1972;Barranquilla;26/01/2022;13/03/2022
69;70.0;Pedro;Hernández;24/01/1963;Medellín;24/03/2022;06/03/2022
70;71.0;Pedro;Rodríguez;21/02/1956;Bogotá;02/02/2022;19/01/2022
71;72.0;Sofía;Hernández;23/05/1970;Barranquilla;16/03/2022;30/01/2022
72;73.0;Carlos;Díaz;12/11/1973;Cartagena;13/01/2022;21/02/2022
73;74.0;Marta;Ramírez;07/03/1993;Barranquilla;12/02/2022;24/01/2022
74;75.0;Elena;Ramírez;28/11/1981;Bogotá;13/02/2022;11/03/2022
75;76.0;Pedro;García;07/07/1955;Cartagena;02/02/2022;28/02/2022
76;77.0;Elena;Sánchez;08/06/1975;Cartagena;09/04/2022;20/03/2022
77;78.0;Rosa;Díaz;08/07/1969;Bogotá;01/02/2022;10/04/2022
78;79.0;Rosa;López;17/03/1956;Cartagena;06/03/2022;21/02/2022
79;80.0;Luis;Gómez;11/10/1957;Barranquilla;04/03/2022;24/01/2022
80;81.0;Sofía;López;08/04/1982;Barranquilla;09/04/2022;09/01/2022
81;82.0;Juan;Martínez;31/03/2001;Bogotá;30/01/2022;03/02/2022
82;83.0;Carlos;Sánchez;16/03/2004;Cali;04/03/2022;06/03/2022
83;84.0;Carlos;Martínez;04/11/1992;Barranquilla;23/01/2022;22/03/2022
84;85.0;Carlos;García;24/03/1969;Cartagena;04/04/2022;06/01/2022
85;86.0;Rosa;Pérez;09/09/1952;Barranquilla;01/02/2022;20/02/2022
86;87.0;Ana;Ramírez;17/07/1988;Medellín;28/02/2022;19/02/2022
87;88.0;Pedro;Hernández;28/11/1962;Medellín;04/04/2022;04/04/2022
88;89.0;Elena;Pérez;05/08/1989;Cali;10/04/2022;08/03/2022
89;90.0;Carlos;López;25/01/1985;Barranquilla;16/01/2022;31/03/2022
90;91.0;Sofía;Ramírez;07/05/1962;Medellín;26/02/2022;25/01/2022
91;92.0;Ana;Gómez;08/07/1961;Barranquilla;05/01/2022;07/03/2022
92;93.0;Pedro;Martínez;27/01/1999;Medellín;05/01/2022;06/02/2022
93;94.0;Ana;García;10/10/1970;Bogotá;20/03/2022;01/03/2022
94;95.0;Rosa;García;16/04/1982;Cali;01/03/2022;03/04/2022
95;96.0;Ana;Gómez;27/07/1967;Cali;27/02/2022;08/01/2022
96;97.0;Juan;Ramírez;05/01/1973;Medellín;25/02/2022;09/02/2022
97;98.0;Juan;Martínez;05/01/1973;Bogotá;04/04/2022;02/03/2022
98;99.0;Rosa;Martínez;03/12/1961;Medellín;27/03/2022;28/01/2022
99;100.0;Marta;Sánchez;23/01/1976;Medellín;28/03/2022;06/02/2022
100;101.0;Rosa;López;24/05/2000;;19/02/2022;03/03/2022
101;102.0;Pedro;Martínez;16/04/1990;;29/03/2022;18/02/2022
102;103.0;Diego;Gómez;01/03/1991;;07/03/2022;21/02/2022
103;104.0;Pedro;Díaz;12/01/1959;;23/01/2022;17/02/2022
104;105.0;Diego;Hernández;03/04/1991;;11/03/2022;23/02/2022
105;106.0;Marta;Hernández;06/04/1984;;26/01/2022;08/04/2022
106;107.0;Pedro;García;21/01/1954;;04/01/2022;18/02/2022
107;108.0;Diego;Pérez;23/03/1993;;08/04/2022;22/03/2022
108;109.0;Pedro;García;06/10/1969;;03/01/2022;12/03/2022
109;110.0;Diego;Ramírez;07/01/1995;;15/01/2022;17/01/2022
110;111.0;Luis;Martínez;31/07/1971;;12/01/2022;03/03/2022
111;112.0;Diego;Martínez;10/10/1989;;16/01/2022;17/02/2022
112;113.0;Ana;Rodríguez;07/10/1956;;04/03/2022;02/04/2022
113;114.0;Carlos;Gómez;26/12/1963;;03/01/2022;05/04/2022
114;115.0;Juan;Ramírez;20/04/1959;;10/03/2022;11/02/2022
115;116.0;Juan;Gómez;05/02/1964;;28/03/2022;15/02/2022
116;117.0;Marta;Hernández;27/11/2002;;23/02/2022;12/01/2022
117;118.0;Luis;Sánchez;27/12/1988;;08/02/2022;03/02/2022
118;119.0;Carlos;Gómez;31/07/2003;;20/03/2022;06/01/2022
119;120.0;Juan;Ramírez;26/12/1982;;15/03/2022;01/01/2022
120;121.0;Rosa;López;21/02/1975;;10/02/2022;12/03/2022
121;122.0;Pedro;Gómez;18/02/1998;;31/01/2022;16/02/2022
122;123.0;Diego;García;08/07/1985;;26/03/2022;19/01/2022
123;124.0;Sofía;Sánchez;16/07/1977;;22/03/2022;05/02/2022
124;125.0;Juan;Hernández;25/06/1978;;29/01/2022;29/01/2022
125;126.0;Diego;García;31/10/1996;;19/01/2022;15/01/2022
126;127.0;Diego;Díaz;14/03/1995;;27/01/2022;22/03/2022
127;128.0;Diego;Pérez;21/04/1989;;31/01/2022;05/03/2022
128;129.0;Juan;López;30/10/1985;;23/02/2022;17/01/2022
129;130.0;Marta;Hernández;01/03/1991;;03/01/2022;17/02/2022
130;131.0;Ana;García;07/09/1970;;17/02/2022;13/03/2022
131;132.0;Luis;Martínez;25/10/1991;;20/03/2022;05/03/2022
132;133.0;Rosa;López;02/03/1986;;11/02/2022;04/04/2022
133;134.0;Rosa;Hernández;20/11/2000;;28/03/2022;31/01/2022
134;135.0;Luis;García;21/06/1950;;28/02/2022;12/03/2022
135;136.0;Diego;López;29/05/1964;;30/01/2022;15/03/2022
136;137.0;Pedro;Díaz;10/06/1957;;11/01/2022;10/04/2022
137;138.0;Luis;Martínez;12/06/1998;;16/03/2022;17/01/2022
138;139.0;Sofía;García;11/09/1950;;19/03/2022;02/04/2022
139;140.0;Pedro;Sánchez;25/06/2005;;19/03/2022;17/02/2022
140;141.0;Luis;Martínez;26/04/2004;;25/01/2022;03/04/2022
141;142.0;Diego;Hernández;22/06/1988;;02/02/2022;21/02/2022
142;143.0;Luis;Martínez;06/05/1999;;14/01/2022;24/03/2022
143;144.0;Rosa;López;09/04/1961;;02/01/2022;20/02/2022
144;145.0;Diego;García;15/10/1964;;21/01/2022;08/03/2022
145;146.0;Marta;Hernández;29/05/1988;;07/04/2022;18/02/2022
146;147.0;Pedro;García;27/07/1975;;06/01/2022;29/03/2022
147;148.0;Carlos;Hernández;16/01/1963;;09/01/2022;09/01/2022
148;149.0;Elena;Martínez;16/12/1968;;23/03/2022;10/04/2022
149;150.0;Carlos;Hernández;13/04/1965;;08/03/2022;23/03/2022
150;151.0;Juan;García;14/10/1958;;29/03/2022;02/01/2022
151;152.0;Pedro;Martínez;19/09/1966;;13/03/2022;26/02/2022
152;153.0;Rosa;García;27/02/1993;;15/02/2022;19/02/2022
153;154.0;Ana;Pérez;10/12/1974;;21/02/2022;14/03/2022
154;155.0;Marta;García;31/10/1969;;08/01/2022;24/02/2022
155;156.0;Luis;Rodríguez;20/05/1969;;05/02/2022;01/03/2022
156;157.0;Elena;Hernández;01/10/1986;;21/03/2022;08/04/2022
157;158.0;Pedro;Pérez;21/09/1956;;08/03/2022;24/02/2022
158;159.0;Luis;Hernández;08/06/1967;;22/03/2022;13/01/2022
159;160.0;Elena;Rodríguez;24/07/1950;;12/01/2022;20/01/2022
160;161.0;Elena;Díaz;11/05/1998;;21/03/2022;12/01/2022
161;162.0;Juan;Ramírez;02/09/1982;;29/01/2022;07/01/2022
162;163.0;Rosa;Díaz;29/07/1973;;14/01/2022;08/04/2022
163;164.0;Luis;Pérez;26/02/1955;;03/02/2022;02/01/2022
164;165.0;Luis;Rodríguez;09/06/1978;;31/03/2022;30/03/2022
165;166.0;Ana;Ramírez;29/07/1984;;25/01/2022;23/01/2022
166;167.0;Pedro;Pérez;27/07/1991;;20/01/2022;23/01/2022
167;168.0;Rosa;Díaz;19/08/1980;;08/01/2022;28/02/2022
168;169.0;Rosa;Pérez;08/03/1988;;28/01/2022;13/03/2022
169;170.0;Luis;Pérez;01/07/1980;;25/02/2022;30/01/2022
170;171.0;Ana;García;24/01/1971;;04/01/2022;22/03/2022
171;172.0;Diego;Rodríguez;20/11/2000;;16/01/2022;19/02/2022
172;173.0;Juan;Rodríguez;10/04/1988;;09/03/2022;05/02/2022
173;174.0;Sofía;Díaz;20/03/1984;;04/01/2022;27/03/2022
174;175.0;Pedro;Pérez;14/08/1981;;04/03/2022;29/03/2022
175;176.0;Elena;Sánchez;03/11/1986;;12/03/2022;17/01/2022
176;177.0;Marta;Martínez;13/04/1965;;04/04/2022;12/01/2022
177;178.0;Ana;Rodríguez;24/01/1990;;09/01/2022;27/01/2022
178;179.0;Carlos;Ramírez;01/10/1970;;03/03/2022;03/01/2022
179;180.0;Juan;Sánchez;11/06/1952;;11/02/2022;15/01/2022
180;181.0;Carlos;Sánchez;13/06/1966;;15/02/2022;09/04/2022
181;182.0;Pedro;Rodríguez;24/11/1985;;26/01/2022;29/03/2022
182;183.0;Rosa;García;12/05/1985;;31/01/2022;06/04/2022
183;184.0;Rosa;García;06/03/1963;;18/01/2022;05/02/2022
184;185.0;Diego;Sánchez;25/06/2005;;14/02/2022;07/02/2022
185;186.0;Diego;Sánchez;04/12/1956;;26/02/2022;10/01/2022
186;187.0;Juan;Sánchez;02/10/1965;;01/02/2022;14/01/2022
187;188.0;Pedro;Rodríguez;02/03/1978;;10/02/2022;15/03/2022
188;189.0;Carlos;Rodríguez;27/05/1971;;17/01/2022;13/02/2022
189;190.0;Luis;López;03/10/1968;;24/02/2022;23/03/2022
190;191.0;Elena;Díaz;15/05/1978;;06/04/2022;24/03/2022
191;192.0;Sofía;Hernández;15/10/1953;;09/04/2022;04/03/2022
192;193.0;Rosa;Ramírez;24/03/1996;;19/02/2022;08/03/2022
193;194.0;Pedro;Hernández;14/05/1975;;24/01/2022;02/01/2022
194;195.0;Marta;Pérez;15/11/1998;;28/02/2022;26/02/2022
195;196.0;Juan;Sánchez;26/10/1962;;13/03/2022;06/03/2022
196;197.0;Carlos;Hernández;13/04/1981;;11/03/2022;11/01/2022
197;198.0;Luis;Martínez;23/10/2004;;14/01/2022;09/03/2022
198;199.0;Luis;Pérez;23/09/2005;;04/04/2022;27/03/2022
199;200.0;Marta;Hernández;14/08/1981;;09/04/2022;14/02/2022
200;201.0;Carlos;López;11/07/1970;;05/02/2022;20/03/2022
201;202.0;Luis;Díaz;27/12/1977;Barranquilla;22/01/2022;30/01/2022
202;203.0;Ana;Pérez;06/08/1992;Barranquilla;04/01/2022;26/02/2022
203;204.0;Sofía;Pérez;20/01/1983;Cartagena;08/04/2022;02/04/2022
204;205.0;Carlos;Rodríguez;18/02/1958;Barranquilla;22/02/2022;25/02/2022
205;206.0;Ana;García;16/05/2000;Cali;05/02/2022;02/02/2022
206;207.0;Luis;Rodríguez;07/03/1977;Barranquilla;04/01/2022;25/02/2022
207;208.0;Luis;Sánchez;22/03/1987;Medellín;01/01/2022;14/03/2022
208;209.0;Elena;Martínez;28/09/1953;Barranquilla;02/04/2022;21/03/2022
209;210.0;Rosa;Sánchez;04/02/1972;Cartagena;29/01/2022;09/04/2022
210;211.0;Luis;Gómez;24/11/1977;Medellín;30/01/2022;14/02/2022
211;212.0;Marta;Gómez;03/10/1984;Cartagena;05/02/2022;03/02/2022
212;213.0;Sofía;Hernández;19/08/1964;Medellín;03/02/2022;14/03/2022
213;214.0;Sofía;Rodríguez;02/05/1995;Cali;01/03/2022;20/03/2022
214;215.0;Ana;Gómez;03/11/1970;Barranquilla;24/03/2022;05/03/2022
215;216.0;Juan;Ramírez;14/04/1952;Cali;12/02/2022;13/03/2022
216;217.0;Elena;Martínez;12/05/1977;Barranquilla;17/03/2022;09/01/2022
217;218.0;Elena;Hernández;28/10/1960;Bogotá;26/02/2022;28/03/2022
218;219.0;Elena;Hernández;19/06/1960;Medellín;05/04/2022;02/02/2022
219;220.0;Carlos;Hernández;11/05/1958;Bogotá;08/02/2022;18/01/2022
220;221.0;Rosa;Martínez;01/04/1961;Barranquilla;07/02/2022;04/03/2022
221;222.0;Juan;Martínez;22/06/1985;Cali;31/01/2022;27/01/2022
222;223.0;Pedro;Ramírez;22/06/1953;Barranquilla;23/03/2022;05/01/2022
223;224.0;Pedro;Gómez;10/06/1957;Cali;08/04/2022;06/04/2022
224;225.0;Juan;Sánchez;09/12/1979;Bogotá;04/01/2022;10/04/2022
225;226.0;Pedro;Martínez;11/10/2000;Cali;13/01/2022;03/04/2022
226;227.0;Marta;Hernández;06/02/1978;Bogotá;29/03/2022;18/01/2022
227;228.0;Rosa;Pérez;27/12/1985;Medellín;01/03/2022;20/03/2022
228;229.0;Juan;Pérez;23/09/1997;Bogotá;09/02/2022;08/01/2022
229;230.0;Sofía;Gómez;12/03/1992;Medellín;22/02/2022;08/01/2022
230;231.0;Carlos;Sánchez;06/07/1979;Bogotá;16/01/2022;03/02/2022
231;232.0;Luis;Martínez;25/02/1984;Barranquilla;28/03/2022;28/03/2022
232;233.0;Luis;García;10/08/1988;Cartagena;11/02/2022;06/04/2022
233;234.0;Carlos;Rodríguez;09/02/2003;Cartagena;01/03/2022;03/02/2022
234;235.0;Elena;Rodríguez;26/05/1987;Cartagena;07/01/2022;13/01/2022
235;236.0;Juan;Rodríguez;09/12/1987;Bogotá;20/02/2022;08/02/2022
236;237.0;Rosa;Ramírez;17/10/1959;Bogotá;10/03/2022;13/01/2022
237;238.0;Elena;López;12/07/1997;Cartagena;09/04/2022;16/02/2022
238;239.0;Juan;López;01/04/2004;Barranquilla;17/01/2022;29/01/2022
239;240.0;Ana;Sánchez;21/10/1963;Bogotá;25/02/2022;06/02/2022
240;241.0;Diego;Díaz;01/12/1982;Cartagena;05/02/2022;13/02/2022
241;242.0;Juan;Pérez;03/11/1954;Barranquilla;09/02/2022;14/02/2022
242;243.0;Luis;Pérez;20/03/1957;Medellín;09/03/2022;06/02/2022
243;244.0;Juan;López;03/11/1970;Bogotá;04/03/2022;08/01/2022
244;245.0;Carlos;Rodríguez;15/03/1985;Medellín;20/03/2022;26/02/2022
245;246.0;Sofía;Martínez;13/02/1983;Medellín;12/03/2022;22/01/2022
246;247.0;Marta;Díaz;09/10/1986;Cartagena;19/02/2022;13/02/2022
247;248.0;Pedro;Díaz;20/05/1953;Cali;05/04/2022;18/02/2022
248;249.0;Rosa;Martínez;28/11/1954;Cartagena;04/04/2022;18/02/2022
249;250.0;Rosa;Martínez;27/02/1966;Barranquilla;21/03/2022;12/03/2022
250;251.0;Marta;Hernández;23/09/1970;Barranquilla;06/04/2022;28/02/2022
251;252.0;Ana;Díaz;08/01/1963;Barranquilla;09/02/2022;12/01/2022
252;253.0;Rosa;Ramírez;16/03/1964;Bogotá;31/03/2022;02/02/2022
253;254.0;Ana;Díaz;11/12/1953;Cali;01/01/2022;01/01/2022
254;255.0;Elena;López;25/09/1952;Bogotá;02/04/2022;06/03/2022
255;256.0;Sofía;García;16/01/1963;Bogotá;07/01/2022;18/02/2022
256;257.0;Luis;Pérez;07/01/1995;Medellín;22/02/2022;01/01/2022
257;258.0;Luis;Pérez;12/10/1995;Cartagena;05/04/2022;30/01/2022
258;259.0;Juan;Ramírez;25/08/1990;Cartagena;02/01/2022;24/03/2022
259;260.0;Diego;Pérez;24/07/1982;Bogotá;19/01/2022;08/02/2022
260;261.0;Sofía;Pérez;15/09/1978;Bogotá;05/01/2022;16/02/2022
261;262.0;Diego;Rodríguez;23/01/1984;Barranquilla;01/04/2022;23/03/2022
262;263.0;Diego;García;28/04/1991;Bogotá;28/02/2022;13/02/2022
263;264.0;Ana;Pérez;26/04/1980;Medellín;29/03/2022;09/03/2022
264;265.0;Luis;Sánchez;05/04/1954;Bogotá;08/04/2022;28/03/2022
265;266.0;Luis;Rodríguez;19/01/1996;Medellín;16/03/2022;02/03/2022
266;267.0;Luis;Martínez;21/01/2005;Barranquilla;14/01/2022;12/02/2022
267;268.0;Carlos;Ramírez;20/05/1950;Barranquilla;10/03/2022;22/03/2022
268;269.0;Elena;Ramírez;20/10/2003;Cali;31/01/2022;17/02/2022
269;270.0;Ana;Hernández;18/04/1964;Medellín;26/02/2022;04/04/2022
270;271.0;Luis;Díaz;08/04/1982;Cartagena;16/02/2022;01/02/2022
271;272.0;Juan;Ramírez;24/06/1991;Bogotá;11/01/2022;16/03/2022
272;273.0;Sofía;Hernández;01/12/1998;Barranquilla;06/03/2022;20/03/2022
273;274.0;Ana;Hernández;09/07/1988;Bogotá;23/02/2022;18/01/2022
274;275.0;Juan;López;13/07/1984;Medellín;26/01/2022;28/03/2022
275;276.0;Luis;Rodríguez;29/11/2000;Cali;17/02/2022;24/01/2022
276;277.0;Pedro;Pérez;18/10/1989;Barranquilla;05/02/2022;03/03/2022
277;278.0;Sofía;Gómez;29/06/2001;Bogotá;18/01/2022;03/01/2022
278;279.0;Luis;Díaz;10/10/1970;Barranquilla;13/01/2022;06/01/2022
279;280.0;Rosa;Martínez;11/02/1985;Cartagena;03/02/2022;16/02/2022
280;281.0;Rosa;Rodríguez;01/02/2003;Bogotá;03/01/2022;30/01/2022
281;282.0;Juan;Gómez;03/07/1978;Barranquilla;27/02/2022;22/02/2022
282;283.0;Juan;López;04/05/1969;Barranquilla;28/03/2022;02/01/2022
283;284.0;Pedro;García;27/01/1999;Medellín;15/01/2022;26/02/2022
284;285.0;Marta;Hernández;30/10/2001;Barranquilla;08/03/2022;19/01/2022
285;286.0;Luis;Gómez;13/01/1957;Medellín;26/02/2022;01/01/2022
286;287.0;Elena;Gómez;01/11/1964;Bogotá;02/04/2022;23/01/2022
287;288.0;Sofía;Díaz;31/10/1969;Barranquilla;23/03/2022;25/03/2022
288;289.0;Carlos;Pérez;14/03/1987;Barranquilla;28/01/2022;14/02/2022
289;290.0;Elena;Díaz;21/02/1980;Barranquilla;07/04/2022;11/01/2022
290;291.0;Luis;Díaz;06/09/1991;Bogotá;10/03/2022;19/01/2022
291;292.0;Juan;López;09/08/1974;Bogotá;18/03/2022;31/01/2022
292;293.0;Juan;Pérez;24/04/1990;Cartagena;03/04/2022;23/03/2022
293;294.0;Elena;Díaz;28/11/1965;Medellín;19/02/2022;09/03/2022
294;295.0;Elena;Rodríguez;09/01/1985;Cartagena;27/02/2022;22/03/2022
295;296.0;Carlos;García;24/09/1984;Cali;19/02/2022;03/02/2022
296;297.0;Diego;Pérez;25/10/1975;Cali;18/01/2022;28/01/2022
297;298.0;Sofía;Hernández;12/07/1962;Bogotá;16/02/2022;06/02/2022
298;299.0;Sofía;Hernández;20/06/1963;Cartagena;21/02/2022;12/03/2022
299;300.0;Marta;Pérez;28/07/1986;Cartagena;25/03/2022;08/03/2022
300;301.0;Elena;Martínez;11/08/1956;Cali;19/01/2022;08/02/2022
301;;;;;;;
302;;;;;;;
303;;;;;;;
304;;;;;;;
305;;;;;;;
306;;;;;;;
307;;;;;;;
308;;;;;;;
309;;;;;;;
310;;;;;;;
311;;;;;;;
312;;;;;;;
313;;;;;;;
314;;;;;;;
315;;;;;;;
316;;;;;;;
317;;;;;;;
318;;;;;;;
319;;;;;;;
320;;;;;;;
321;;;;;;;
322;;;;;;;
323;;;;;;;
324;;;;;;;
325;;;;;;;
326;;;;;;;
327;;;;;;;
328;;;;;;;
329;;;;;;;
330;;;;;;;
331;;;;;;;
332;;;;;;;
333;;;;;;;
334;;;;;;;
335;;;;;;;
336;;;;;;;
337;;;;;;;
338;;;;;;;
339;;;;;;;
340;;;;;;;
341;;;;;;;
342;;;;;;;
343;;;;;;;
344;;;;;;;
345;;;;;;;
346;;;;;;;
347;;;;;;;
348;;;;;;;
349;;;;;;;
350;;;;;;;
351;;;;;;;
352;;;;;;;
353;;;;;;;
354;;;;;;;
355;;;;;;;
356;;;;;;;
357;;;;;;;
358;;;;;;;
359;;;;;;;
360;;;;;;;
361;;;;;;;
362;;;;;;;
363;;;;;;;
364;;;;;;;
365;;;;;;;
366;;;;;;;
367;;;;;;;
368;;;;;;;
369;;;;;;;
370;;;;;;;
371;;;;;;;
372;;;;;;;
373;;;;;;;
374;;;;;;;
375;;;;;;;
376;;;;;;;
377;;;;;;;
378;;;;;;;
379;;;;;;;
380;;;;;;;
381;;;;;;;
382;;;;;;;
383;;;;;;;
384;;;;;;;
385;;;;;;;
386;;;;;;;
387;;;;;;;
388;;;;;;;
389;;;;;;;
390;;;;;;;
391;;;;;;;
392;;;;;;;
393;;;;;;;
394;;;;;;;
395;;;;;;;
396;;;;;;;
397;;;;;;;
398;;;;;;;
399;;;;;;;
400;;;;;;;
401;402.0;Juan;Rodríguez;04/10/2003;Cali;10/01/2022;02/04/2022
402;403.0;Elena;Hernández;03/09/1977;Cartagena;25/03/2022;21/02/2022
403;404.0;Elena;Sánchez;03/07/1967;Cali;09/03/2022;13/02/2022
404;405.0;Marta;López;08/09/1968;Cali;01/03/2022;13/03/2022
405;406.0;Luis;Martínez;27/01/1999;Cartagena;08/01/2022;26/02/2022
406;407.0;Sofía;García;19/09/2001;Barranquilla;10/04/2022;08/04/2022
407;408.0;Carlos;Martínez;11/05/1950;Cali;27/02/2022;13/01/2022
408;409.0;Luis;Díaz;27/09/1955;Medellín;07/03/2022;11/02/2022
409;410.0;Diego;Sánchez;11/07/1970;Barranquilla;14/02/2022;25/01/2022
410;411.0;Luis;López;20/01/1986;Barranquilla;22/02/2022;23/03/2022
411;412.0;Sofía;Pérez;02/12/1993;Cali;06/02/2022;04/01/2022
412;413.0;Luis;Ramírez;09/04/1969;Barranquilla;24/01/2022;08/01/2022
413;414.0;Sofía;Ramírez;24/05/1962;Barranquilla;08/02/2022;15/02/2022
414;415.0;Ana;Pérez;27/09/1998;Cali;03/03/2022;15/01/2022
415;416.0;Rosa;Rodríguez;06/09/1991;Bogotá;04/03/2022;22/02/2022
416;417.0;Elena;Gómez;28/05/1966;Barranquilla;18/03/2022;18/01/2022
417;418.0;Carlos;Ramírez;07/12/1968;Cali;05/01/2022;19/02/2022
418;419.0;Marta;López;11/03/1973;Bogotá;01/03/2022;02/03/2022
419;420.0;Sofía;García;01/08/1966;Medellín;15/03/2022;26/02/2022
420;421.0;Luis;Pérez;24/11/1969;Barranquilla;06/04/2022;09/02/2022
